Neutron Count,Control Rod Percentage
12,0
12,0
12,0
10,0
10,0
13,0
12,0
11,0
14,0
14,0
14,0
13,0
13,0
12,0
12,0
11,0
11,0
11,0
14,0
14,0
14,0
13,0
13,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
9,0
12,0
11,0
11,0
11,0
11,0
11,0
10,0
10,0
10,0
8,0
8,0
8,0
7,0
7,0
6,0
5,0
3,0
2,0
2,0
2,0
2,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
8,0
8,0
11,0
11,0
11,0
13,0
12,0
12,0
10,0
10,0
10,0
9,0
8,0
8,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,0
9,0
7,0
6,0
6,0
6,0
6,0
6,0
9,0
9,0
9,0
9,0
12,0
11,0
10,0
10,0
10,0
10,0
13,0
13,0
13,0
13,0
16,0
16,0
15,0
13,0
13,0
13,0
11,0
10,0
10,0
13,0
16,0
16,0
19,0
19,0
19,0
19,0
18,0
18,0
14,0
14,0
12,0
10,0
9,0
8,0
8,0
8,0
8,0
8,0
6,0
6,0
6,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
8,0
11,0
11,0
14,0
14,0
14,0
13,0
12,0
12,0
12,0
11,0
11,0
9,0
9,0
9,0
9,0
9,0
12,0
12,0
12,0
11,0
11,0
11,0
10,0
9,0
8,0
8,0
8,0
8,0
8,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
6,0
6,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
7,0
7,0
7,0
6,0
6,0
5,0
5,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
7,0
7,0
7,0
7,0
7,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
13,0
16,0
16,0
16,0
16,0
16,0
19,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
25,0
28,0
28,0
28,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
32,0
35,0
35,0
38,0
41,0
41,0
44,0
47,0
47,0
53,0
53,0
53,0
53,0
53,0
56,0
56,0
56,0
59,0
59,0
59,0
65,0
68,0
74,0
77,0
77,0
77,0
80,0
80,0
89,0
95,0
95,0
95,0
95,0
